Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern,Intraday Probability %,Confidence,Final Bias,Validation Signal,Risk Level,Entry Price,Stop Loss,Target
ICICIGI,1667.1,48.1,4584775.0,3.27,,,,,,,,,626600.0,-75.36,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup,75,HIGH,BUY,VALID BUY,MEDIUM,1667.1,1633.7579999999998,1733.7839999999999
CIPLA,1429.5,37.5,6542025.0,2.08,,,,,,,,,731000.0,-92.17,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup,75,HIGH,BUY,VALID BUY,MEDIUM,1429.5,1400.91,1486.68
HCLTECH,1255.4,8.8,23301600.0,0.93,,,,,,,,,2193600.0,-78.72,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1255.4,1230.2920000000001,1305.6160000000002
NESTLEIND,1460.2,11.1,8569500.0,0.16,,,,,,,,,372000.0,-89.53,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1460.2,1430.996,1518.6080000000002
PIIND,2733.5,14.2,2259425.0,0.04,,,,,,,,,109550.0,-88.92,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,2733.5,2678.83,2842.84
TCS,2248.2,4.0,25778025.0,1.42,,,,,,,,,1616625.0,-88.48,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,2248.2,2203.236,2338.1279999999997
EXIDEIND,444.0,4.3,17955000.0,0.45,,,,,,,,,1092600.0,-71.19,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,444.0,435.12,461.76
UNITDSPR,1455.6,35.9,5535200.0,0.76,,,,,,,,,588400.0,-86.1,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1455.6,1426.4879999999998,1513.824
ALKEM,5611.0,3.0,1167750.0,0.43,,,,,,,,,17375.0,-96.12,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,5611.0,5498.78,5835.4400000000005
GODREJCP,1062.8,4.4,7233500.0,0.89,,,,,,,,,154500.0,-95.23,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1062.8,1041.5439999999999,1105.312
TATACONSUM,1115.6,7.9,10004500.0,0.76,,,,,,,,,457050.0,-92.38,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1115.6,1093.2879999999998,1160.224
COLPAL,2101.9,8.1,3527975.0,0.83,,,,,,,,,101750.0,-91.94,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,2101.9,2059.862,2185.976
